Nit|GESTOR|N°|COD. SUC|DEPARTAMENTO|CIUDAD / MUNICIPIO|"TIPOLOGIA (PROPIA/ALIADA)"|DANE|NOMBRE DE LA FARMACIA|DIRECCIÓN DE CONTACTO|TIPO DE ATENCIÓN FISICO/DOMICILIO|CANAL DOMICILIO|TELEFONO DE CONTACTO|HORARIO ATENCIÓN|DISPENSACIÓN DE MEDICAMENTOS REFRIGERADOS (S/N)|DISPENSACIÓN DE MEDICAMENTOS DE CONTROL ESPECIAL (S/N)|DISPENSACIÓN DE MEDICAMENTOS ALTO COSTO (S/N)|TUTELA (S/N)|NO PBS|PBS|COBERTURA|PLAN PREMIUM|ATENCION 24 HORAS (S/N)|DOMINGOS/ FESTIVOS(S/N)|NOVEDADES EN PUNTOS|LATITUD|LONGITUD|CAJAS
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|21|81001_21|ARAUCA|ARAUCA|PROPIA|81001|FARMACIA MYT SEDE CONTRIBUTIVO ARAUCA|CALLE 23 # 16 – 111 B. CORDOBA|PUNTO FÍSICO|NO APLICA|3204912893|L a V 7:00am 12:00 am 2:00pm 6:00pm S 8:00 11:00 am|SI|SI|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.8939° N|72.5078° O|8
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|22|81001_22|ARAUCA|ARAUCA|PROPIA|81001|FARMACIA MYT SEDE ARAUCA|CALLE 15 # 13 – 46 B. LAS AMERICAS|PUNTO FÍSICO|NO APLICA|3204912893|L a V 7:00am 12:00am 2:00 pm 6:00 pm S 8:00AM 11:00am|SI|SI|SI|SI|SI|NO|NO PBS|NO|NO|NO||7.3333° N|72.5000° O|9
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|22|81001_22|ARAUCA|ARAUCA|PROPIA|81001|FARMACIA MYT SUBSIDIADO SEDE ARAUCA|CALLE 15 # 16 - 62 B. CRISTO REY|PUNTO FÍSICO|NO APLICA|3102413674|L a V 7:00am 12:00am 2:00 pm 6:0 pm S 8:00AM 11:00am|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||SD|SD|7
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|24|81001_24|ARAUCA|ARAUCA|ALIADA|81001|ALIADA_ MyT ARAUCA|Calle 15 # 15- 49|PUNTO FÍSICO|NO APLICA|3204912893|L a V 7:00am 12:00am 2:00 pm 6:0 pm S 8:00AM 11:00am|SI|NO|NO|NO|NO|SI|PBS|NO|NO|NO||7.3333° N|72.5000° O|1
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|25|81065_25|ARAUCA|ARAUQUITA|PROPIA|81065|FARMACIA MYT SEDE ARAUQUITA|CARRERA 4 # 07 - 67 BARRIO OBRERO|PUNTO FÍSICO|NO APLICA|3204912893|L a V 7:00am 12:00am 2:00 pm 5:00 pm S 7:00AM 11:00am|SI|SI|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.3333° N|72.5000° O|5
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|26|81065_26|ARAUCA|ARAUQUITA|ALIADA|81065|ALIADA_ GUERRERO DE ARAUQUITA (104)|CALLE 8 # 2 - 63 B. SAN ISIDRO|PUNTO FÍSICO|NO APLICA|3204912893|L a V 7:00am 12:00am 2:00 pm 6:0 pm S 8:00AM 11:00am|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.8333° N|72.8333° O|4
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|26|81065_26|ARAUCA|ARAUQUITA|ALIADA|81065|ALIADA_FARMACIA AZUR|Calle 2 # 3 - 34 B. Centro|PUNTO FÍSICO|NO APLICA|3204912893|L a V 7:00am 12:00am 2:00 pm 6:0 pm S 8:00AM 11:00am|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||SD|SD|1
900057926|MEDICINA Y TECNOLOGIA EN SALUD MYT|26|81065_26|ARAUCA|ARAUQUITA|ALIADA|81065|ALIADA_FARMACIA NATURFARMA|Via Arenosa Diagonal Cancha Del Pueblo|PUNTO FÍSICO|NO APLICA|3204912893|L a V 7:00am 12:00am 2:00 pm 6:0 pm S 8:00AM 11:00am|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||SD|SD|1
900331412|GENHOSPI|29|52051_29|NARIÑO|ARBOLEDA|ALIADA|52051|ALIADA_CENTRO DE SALUD SAN MIGUEL ESE|BARRIO ESMERALDA|PUNTO FÍSICO|NO APLICA|6027316719|M a V 7:00 am 10:00 Pm S D 7:00 am - 1:00 Pm|SI|SI|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||1503380512|7712698744|1
900249425|PHARMASAN|30|54051_30|NORTE DE SANTANDER|ARBOLEDAS|ALIADA|54051|ALIADA_INSERCOOP|Calle 2 #3-31 Barrio La Presentación|PUNTO FÍSICO|NO APLICA|18000423739|M a V 7:30 am a 12:00 m 2:00 pm a 6:00 pm S - D 8:00 am a 1:00 pm|SI|NO|NO|NO|SI|SI|PBS Y NO PBS|NO|NO|SI|Lunes no hay servicio|7.586048164|-72.9170532|1
